ip,requestRate,uniqueEndpoints,errorRate,uaLen,adminHits,label
187.79.250.63,231,10,0.039,11,23,0
247.128.59.216,386,10,0.013,97,32,0
60.235.17.135,229,10,0.009,98,24,0
188.177.253.60,267,10,0.004,21,32,0
202.147.119.99,159,10,0.019,21,10,0
96.227.154.129,198,10,0.040,98,21,0
226.192.35.175,204,10,0.025,72,23,0
155.222.15.222,202,10,0.020,98,23,0
243.218.23.253,187,10,0.005,97,27,0
45.29.114.13,208,10,0.024,72,28,0
79.124.182.207,353,10,0.034,11,41,0
42.29.212.107,255,10,0.016,11,23,0
19.63.164.186,273,10,0.022,97,25,0
28.106.38.20,286,10,0.007,11,32,0
133.144.71.109,372,10,0.011,21,40,0
107.64.161.19,154,10,0.006,97,19,0
65.63.156.142,276,10,0.018,91,32,0
219.190.237.123,375,10,0.019,91,26,0
166.12.137.121,202,10,0.015,91,18,0
12.59.243.32,310,10,0.023,72,26,0
46.183.204.186,373,10,0.024,91,30,0
114.244.208.78,275,10,0.025,97,28,0
225.98.153.116,336,10,0.018,97,27,0
150.93.88.172,183,10,0.027,97,18,0
168.177.94.244,252,10,0.028,72,27,1
41.102.154.212,393,10,0.018,11,35,0
140.227.22.222,177,10,0.011,98,13,0
157.67.133.126,293,10,0.020,21,38,0
106.38.78.13,161,10,0.019,97,13,0
213.100.104.68,150,10,0.007,91,13,0
12.92.240.9,327,10,0.015,11,38,0
201.15.246.37,197,10,0.005,97,25,0
126.236.223.64,306,10,0.016,72,39,0
159.96.240.29,399,10,0.023,72,34,1
83.223.148.174,327,10,0.012,21,28,0
202.240.113.246,183,10,0.016,11,27,1
68.44.237.25,327,10,0.015,11,41,1
105.229.37.9,317,10,0.022,72,31,0
222.136.243.42,288,10,0.014,91,22,0
119.206.147.113,297,10,0.030,21,38,0
100.138.236.89,358,10,0.008,11,26,1
125.70.142.134,380,10,0.021,72,39,0
236.118.233.153,400,10,0.022,72,32,0
141.100.115.135,279,10,0.007,11,31,0
243.226.26.180,342,10,0.018,72,32,0
33.185.147.170,365,10,0.011,11,47,0
5.143.249.112,228,10,0.026,21,27,0
179.26.203.206,360,10,0.025,98,29,1
15.55.122.146,314,10,0.010,98,31,0
224.194.198.157,230,10,0.017,72,20,0
62.19.108.67,154,10,0.026,11,13,0
125.238.92.195,400,10,0.020,21,44,0
6.230.195.57,370,10,0.022,91,33,0
130.177.142.133,354,10,0.011,98,32,0
116.31.93.246,252,10,0.020,72,25,0
140.112.252.232,266,10,0.023,97,44,0
206.143.227.17,232,10,0.013,91,20,0
25.135.17.208,356,10,0.017,72,40,0
42.63.204.179,400,10,0.018,91,40,1
162.169.196.34,219,10,0.009,97,27,0
221.47.229.46,262,10,0.027,21,28,0
109.194.140.45,221,10,0.023,11,30,0
189.79.95.189,380,10,0.018,72,49,0
120.196.161.40,336,10,0.033,11,30,0
214.48.10.29,266,10,0.019,91,22,0
143.179.27.91,219,10,0.009,97,14,0
24.248.34.249,253,10,0.008,98,41,0
156.215.182.136,358,10,0.028,98,40,0
104.14.45.122,276,10,0.029,91,21,0
109.20.133.188,393,10,0.015,98,29,0
37.122.149.206,246,10,0.016,97,27,0
109.163.132.238,150,10,0.027,98,19,0
105.241.123.68,173,10,0.023,11,21,0
82.218.146.155,302,10,0.020,72,35,0
108.65.62.198,270,10,0.011,11,18,0
132.22.189.0,157,10,0.019,11,16,0
99.170.146.182,342,10,0.015,91,35,0
74.119.129.26,182,10,0.033,72,19,0
154.127.227.244,176,10,0.017,21,12,0
15.11.154.213,266,10,0.026,98,21,0
237.45.162.183,367,10,0.030,72,32,0
246.112.170.242,243,10,0.021,21,22,0
246.80.68.183,298,10,0.040,21,34,1
100.6.7.147,387,10,0.013,91,40,1
151.18.5.103,306,10,0.016,97,27,0
94.224.69.24,231,10,0.026,72,30,0
254.117.86.55,392,10,0.020,97,53,0
234.43.60.54,162,10,0.031,72,15,0
193.170.34.126,221,10,0.027,98,21,0
136.145.92.60,202,10,0.005,97,16,0
108.92.145.215,295,10,0.014,72,31,0
205.70.55.197,349,10,0.017,97,41,0
205.205.242.112,396,10,0.013,72,44,0
231.202.160.146,332,10,0.018,21,33,1
141.241.106.54,197,10,0.020,21,23,0
254.219.166.77,344,10,0.020,72,36,0
3.0.208.29,318,10,0.016,97,22,0
49.98.200.138,242,10,0.021,11,26,0
30.23.129.142,330,10,0.015,91,33,0
127.228.27.75,298,10,0.010,72,31,0
128.7.63.226,244,10,0.012,91,27,0
132.234.123.99,364,10,0.022,98,35,0
141.199.245.12,315,10,0.022,21,27,0
227.255.1.189,234,10,0.009,21,25,0
222.95.62.21,330,10,0.021,91,35,0
88.255.100.53,332,10,0.024,98,35,0
74.210.83.77,207,10,0.024,98,21,0
242.21.0.214,322,10,0.003,98,29,0
77.94.160.51,368,10,0.011,91,40,0
130.170.28.142,286,10,0.010,97,19,0
202.35.43.48,398,10,0.023,72,39,0
187.155.244.25,236,10,0.025,21,19,0
251.186.22.231,312,10,0.022,97,31,1
4.28.14.251,363,10,0.030,98,27,0
54.110.165.248,260,10,0.019,72,30,0
194.99.6.18,390,10,0.010,72,37,0
200.7.18.208,167,10,0.006,98,17,0
233.147.3.151,255,10,0.012,98,21,0
23.91.63.78,378,10,0.019,97,35,0
99.187.129.105,357,10,0.020,11,32,0
242.200.242.39,326,10,0.021,72,26,0
140.78.35.6,174,10,0.023,21,12,0
217.77.236.197,346,10,0.023,91,41,0
74.233.103.183,342,10,0.009,91,30,0
120.96.191.169,174,10,0.023,21,14,0
149.0.92.111,230,10,0.026,91,25,0
203.225.65.191,339,10,0.027,98,33,0
170.26.30.184,259,10,0.015,72,25,0
153.151.159.250,238,10,0.034,21,19,0
149.182.254.216,233,10,0.017,91,31,1
161.249.250.176,384,10,0.003,11,33,0
190.85.227.60,250,10,0.016,91,26,0
13.187.56.219,320,10,0.013,91,32,0
254.137.14.81,342,10,0.015,21,41,1
148.82.110.89,181,10,0.022,11,22,0
82.148.247.178,167,10,0.024,11,10,0
13.46.100.189,185,10,0.016,21,19,0
61.130.104.130,294,10,0.017,91,34,0
118.100.210.6,195,10,0.015,11,23,0
45.250.169.39,278,10,0.025,97,19,0
72.213.189.232,194,10,0.021,98,20,0
116.167.203.140,183,10,0.033,21,23,1
92.48.3.73,343,10,0.006,98,41,0
96.40.65.146,176,10,0.023,21,13,0
97.195.239.103,312,10,0.016,91,30,0
240.199.231.66,329,10,0.021,91,27,0
131.171.159.99,234,10,0.021,11,22,0
111.106.98.149,160,10,0.025,21,11,1
51.39.196.189,330,10,0.012,97,36,0
7.247.143.96,334,10,0.018,72,37,0
84.147.133.64,268,10,0.019,72,29,0
26.113.78.246,225,10,0.022,98,22,0
231.83.250.238,180,10,0.017,72,15,1
15.98.225.20,332,10,0.018,72,31,0
71.22.79.45,167,10,0.006,97,19,0
110.124.26.38,313,10,0.032,11,36,0
197.243.29.70,314,10,0.029,98,23,0
28.172.16.43,391,10,0.010,72,34,0
116.229.79.245,247,10,0.008,98,18,0
58.76.177.27,258,10,0.035,97,20,0
122.109.20.94,160,10,0.031,72,17,0
235.228.98.113,201,10,0.020,11,27,1
168.86.212.3,283,10,0.004,98,16,0
151.231.185.232,242,10,0.017,21,29,0
40.68.133.170,395,10,0.018,97,48,0
240.37.127.183,369,10,0.016,98,31,0
192.237.130.145,241,10,0.025,97,15,0
41.7.150.105,200,10,0.025,21,28,0
125.97.254.149,153,10,0.020,72,10,0
25.156.201.188,365,10,0.014,21,43,0
152.251.228.2,350,10,0.014,21,27,0
241.188.245.76,165,10,0.024,97,14,0
175.16.33.123,294,10,0.024,98,35,0
145.13.116.54,335,10,0.021,72,37,0
171.126.123.160,152,10,0.020,21,13,0
147.112.235.205,216,10,0.005,98,27,0
185.202.14.180,238,10,0.029,91,31,0
25.145.59.185,246,10,0.016,72,19,0
175.60.106.81,239,10,0.025,91,24,0
18.135.127.103,251,10,0.012,97,27,0
24.48.71.60,274,10,0.026,98,27,0
9.150.248.201,180,10,0.028,21,23,0
249.35.219.178,173,10,0.023,98,19,0
56.108.133.111,332,10,0.018,11,34,0
65.240.248.42,167,10,0.006,97,17,0
159.147.180.238,213,10,0.014,21,27,0
31.193.56.185,360,10,0.019,97,32,0
140.80.204.207,173,10,0.029,97,16,0
7.130.144.46,327,10,0.012,72,28,0
95.190.41.71,327,10,0.028,98,35,0
66.219.73.162,151,10,0.013,98,21,0
242.42.214.142,312,10,0.022,11,22,0
96.108.50.51,158,10,0.038,21,12,0
20.146.99.16,345,10,0.012,97,34,0
76.154.20.89,295,10,0.020,72,32,1
68.115.113.48,301,10,0.023,11,26,0
100.100.98.247,370,10,0.035,97,30,0
163.113.70.160,207,10,0.048,72,20,0
126.232.217.71,328,10,0.021,98,36,0
154.83.85.217,293,10,0.010,11,27,0
55.248.115.214,306,10,0.020,98,28,0
149.198.206.21,169,10,0.006,11,15,0
171.217.240.74,357,10,0.008,72,39,0
166.153.221.231,239,10,0.008,97,22,0
178.101.72.238,243,10,0.012,72,29,0
13.43.148.119,270,10,0.004,91,24,0
194.126.185.183,306,10,0.016,98,35,0
28.168.77.37,391,10,0.018,72,46,0
79.64.48.20,296,10,0.027,21,29,0
53.125.37.243,295,10,0.027,91,24,1
124.238.217.106,221,10,0.018,98,24,0
18.140.129.236,387,10,0.010,11,44,0
128.243.84.40,329,10,0.003,72,28,0
161.126.52.207,350,10,0.011,91,24,0
43.183.141.209,310,10,0.016,72,30,0
154.131.158.68,310,10,0.010,91,36,0
22.105.215.230,373,10,0.019,98,39,0
16.162.210.9,173,10,0.012,72,20,0
238.216.106.35,260,10,0.015,91,22,0
53.116.230.153,158,10,0.006,91,17,0
138.114.227.221,181,10,0.022,91,12,1
13.215.173.41,205,10,0.010,97,17,0
22.170.31.27,376,10,0.011,97,37,0
246.180.104.37,195,10,0.021,11,23,0
162.23.108.213,266,10,0.019,72,31,0
75.196.188.186,356,10,0.020,98,38,0
110.162.138.40,300,10,0.010,21,30,0
76.144.54.89,345,10,0.020,21,34,0
17.56.248.50,186,10,0.027,98,25,0
244.56.33.114,299,10,0.020,21,39,0
233.35.36.113,284,10,0.025,91,38,0
105.63.101.235,235,10,0.009,98,20,0
240.144.181.147,204,10,0.010,91,18,0
235.58.151.182,180,10,0.028,91,22,0
139.66.151.206,207,10,0.024,11,19,0
165.213.250.132,205,10,0.015,72,24,0
22.172.178.236,259,10,0.031,98,29,0
120.106.48.45,273,10,0.026,11,28,0
162.88.141.26,239,10,0.021,97,25,0
239.52.10.143,377,10,0.016,97,33,0
4.130.148.107,384,10,0.021,97,35,0
34.0.60.58,241,10,0.025,21,23,0
119.96.99.224,276,10,0.033,98,22,0
190.170.4.75,376,10,0.021,91,34,0
184.194.165.112,163,10,0.006,98,17,0
164.109.235.122,297,10,0.030,11,34,0
153.173.9.144,206,10,0.010,98,19,0
179.200.38.37,274,10,0.018,11,19,0
114.174.174.191,185,10,0.022,11,16,0
198.216.103.76,157,10,0.013,98,20,0
150.26.90.34,340,10,0.015,11,35,1
31.182.20.87,357,10,0.028,21,35,0
134.53.155.14,261,10,0.019,98,19,0
15.4.199.153,209,10,0.024,98,23,0
184.79.228.149,268,10,0.030,21,33,0
68.135.34.52,194,10,0.026,11,19,1
136.42.41.45,390,10,0.031,11,50,0
128.222.19.104,341,10,0.012,72,32,0
10.75.108.220,168,10,0.030,98,16,0
140.194.97.234,162,10,0.006,72,17,0
93.227.80.30,322,10,0.025,72,32,0
93.136.201.123,197,10,0.015,97,15,0
90.114.240.188,357,10,0.014,98,35,0
13.87.55.151,274,10,0.022,91,28,1
13.148.246.193,238,10,0.017,97,22,0
60.5.63.63,275,10,0.004,72,17,0
187.199.171.203,175,10,0.000,21,20,0
254.3.11.45,200,10,0.015,91,19,0
127.145.60.168,362,10,0.017,91,37,0
138.107.159.239,183,10,0.011,97,20,0
76.199.149.35,170,10,0.024,97,16,0
59.201.62.26,296,10,0.007,98,28,0
102.25.69.162,381,10,0.031,21,41,1
123.1.32.65,393,10,0.015,72,47,0
226.192.178.12,377,10,0.019,72,51,0
189.95.157.140,350,10,0.006,97,26,0
169.172.142.121,226,10,0.031,11,30,0
39.108.33.35,387,10,0.023,98,47,0
155.91.17.148,161,10,0.006,98,20,0
233.6.236.45,292,10,0.034,72,33,0
64.74.177.48,256,10,0.027,97,29,0
130.34.174.35,185,10,0.027,91,21,0
57.226.55.34,188,10,0.027,21,12,0
224.74.38.158,178,10,0.022,72,14,0
1.171.21.22,196,10,0.026,72,24,0
168.119.149.44,271,10,0.007,98,24,0
251.148.192.168,171,10,0.035,98,15,0
202.21.57.82,293,10,0.017,91,26,0
181.119.14.26,357,10,0.008,98,34,0
149.170.123.24,162,10,0.012,98,18,0
142.20.144.141,332,10,0.018,91,30,0
54.1.85.195,288,10,0.031,97,26,0
108.245.102.51,212,10,0.019,91,18,1
186.71.39.166,344,10,0.015,97,24,0
144.252.121.33,241,10,0.017,91,32,0
231.229.51.215,323,10,0.003,11,39,0
119.231.47.104,364,10,0.022,98,29,0
91.162.252.121,258,10,0.008,91,26,0
80.19.75.101,303,10,0.020,97,40,0
158.49.121.235,189,10,0.021,91,19,0
163.63.147.177,317,10,0.006,91,32,0
4.130.28.78,201,10,0.010,91,19,0
42.228.141.75,182,10,0.022,98,17,0
140.195.203.86,396,10,0.023,11,37,0
231.150.177.130,240,10,0.017,72,26,0
235.76.220.229,379,10,0.024,11,34,0
77.26.192.145,330,10,0.024,72,34,0
137.11.16.76,323,10,0.022,98,37,0
94.9.140.107,255,10,0.035,11,30,1
191.13.119.141,307,10,0.020,21,31,0
191.125.212.233,313,10,0.010,97,38,0
109.24.134.41,217,10,0.023,98,14,0
29.137.162.16,302,10,0.030,97,27,0
124.57.58.165,226,10,0.013,91,26,0
154.16.210.247,241,10,0.017,11,22,0
8.131.17.217,350,10,0.014,72,36,0
216.170.183.119,213,10,0.019,11,16,0
5.181.7.23,328,10,0.015,91,37,0
129.46.19.197,316,10,0.022,21,33,0
157.240.126.195,297,10,0.013,97,31,0
253.216.73.164,324,10,0.019,72,31,0
52.46.86.126,317,10,0.032,97,32,0
92.130.205.175,371,10,0.024,21,41,0
76.88.208.184,379,10,0.024,72,43,0
131.159.81.79,156,10,0.006,97,20,0
72.48.235.196,291,10,0.017,72,25,0
183.141.37.124,396,10,0.023,21,46,0
80.148.148.161,290,10,0.014,98,22,0
184.141.209.61,312,10,0.016,98,26,0
171.38.174.166,213,10,0.019,11,24,0
24.26.230.130,262,10,0.015,72,36,0
43.48.80.40,244,10,0.012,97,22,0
92.54.144.181,206,10,0.005,11,19,0
194.62.96.223,367,10,0.022,91,47,0
98.231.102.143,281,10,0.021,98,21,1
209.114.61.109,332,10,0.015,91,33,0
231.211.203.5,385,10,0.018,91,32,0
183.123.132.86,380,10,0.032,72,33,0
35.71.97.141,183,10,0.027,98,19,0
109.243.114.211,395,10,0.020,72,36,0
164.139.53.143,305,10,0.013,72,22,0
26.44.16.194,257,10,0.031,91,26,0
173.201.170.96,267,10,0.004,11,26,0
154.92.58.201,391,10,0.013,97,31,0
234.47.250.11,217,10,0.041,97,24,0
154.50.17.119,335,10,0.012,91,52,0
84.128.172.20,184,10,0.016,72,22,0
161.42.46.212,230,10,0.004,97,29,0
116.77.65.28,158,10,0.006,97,13,0
56.123.75.52,296,10,0.010,21,34,0
250.144.209.199,150,10,0.007,91,16,0
255.155.80.111,323,10,0.031,11,32,0
157.126.134.159,363,10,0.028,98,32,0
65.126.173.212,187,10,0.011,91,21,0
251.132.163.37,211,10,0.019,11,16,0
175.5.174.217,280,10,0.014,98,26,0
11.71.133.215,363,10,0.019,72,41,0
145.201.52.140,377,10,0.013,72,30,0
181.63.2.58,251,10,0.012,98,23,0
206.3.153.116,361,10,0.022,91,23,0
221.175.94.198,184,10,0.011,72,15,0
17.132.186.65,369,10,0.024,72,36,0
63.254.3.7,204,10,0.010,97,15,0
233.89.214.84,246,10,0.016,72,11,0
253.15.147.98,190,10,0.037,72,14,0
217.84.177.6,172,10,0.023,91,16,0
97.199.153.8,246,10,0.024,97,31,0
38.25.198.20,238,10,0.025,72,30,0
37.111.59.107,373,10,0.024,72,37,1
60.203.219.75,322,10,0.028,97,28,0
97.62.24.7,162,10,0.019,11,22,0
105.46.37.231,165,10,0.030,98,18,0
216.204.41.228,219,10,0.023,97,32,0
36.81.178.5,190,10,0.000,97,15,0
213.244.17.32,184,10,0.016,91,12,0
10.25.134.213,162,10,0.012,98,15,0
81.17.180.22,298,10,0.023,11,33,0
2.207.3.65,205,10,0.015,72,17,0
84.168.39.138,219,10,0.014,21,21,0
255.229.131.221,274,10,0.007,21,20,0
187.63.39.201,279,10,0.014,97,31,0
190.82.242.242,384,10,0.026,72,39,0
167.195.166.140,315,10,0.016,11,40,0
200.98.30.168,393,10,0.020,21,42,0
61.186.33.170,370,10,0.016,72,33,0
204.137.244.138,308,10,0.026,98,31,0
79.90.46.73,154,10,0.026,98,19,1
137.192.249.79,211,10,0.014,91,30,0
81.168.147.168,359,10,0.022,97,36,0
51.246.172.193,367,10,0.014,98,32,0
94.83.191.183,178,10,0.011,98,15,0
131.69.63.205,278,10,0.011,72,33,0
197.119.236.206,354,10,0.042,11,30,0
139.91.219.230,229,10,0.039,97,23,0
199.179.130.252,199,10,0.025,11,24,0
139.154.45.168,283,10,0.018,21,29,0
159.98.26.154,190,10,0.021,98,19,0
83.176.100.166,206,10,0.010,97,26,0
125.95.9.38,297,10,0.020,11,25,0
21.143.87.2,171,10,0.029,72,16,0
36.130.55.110,218,10,0.028,11,26,0
241.7.248.236,349,10,0.017,97,43,0
228.155.113.124,182,10,0.022,21,13,0
10.57.26.131,159,10,0.025,21,16,0
103.19.155.219,352,10,0.026,21,33,0
19.255.68.46,336,10,0.021,97,36,0
54.125.83.226,174,10,0.011,97,11,0
240.14.121.185,344,10,0.015,72,36,0
225.28.75.231,224,10,0.018,21,26,0
162.102.22.29,163,10,0.018,72,23,0
31.124.85.251,198,10,0.015,21,25,0
101.173.78.44,354,10,0.011,72,41,0
18.159.202.42,344,10,0.023,21,33,0
172.188.185.209,156,10,0.006,97,21,0
105.201.166.112,347,10,0.017,97,37,0
254.199.21.41,191,10,0.047,72,21,0
43.198.241.130,265,10,0.015,72,20,0
79.47.153.18,347,10,0.009,91,29,0
106.93.250.209,357,10,0.014,97,38,0
35.46.207.184,373,10,0.019,98,40,0
57.77.53.176,248,10,0.024,98,30,0
144.159.113.214,232,10,0.022,11,24,0
83.194.89.58,161,10,0.019,72,19,0
53.122.153.45,276,10,0.011,72,28,0
105.179.209.184,199,10,0.030,21,19,0
173.113.116.137,360,10,0.017,72,39,0
132.177.105.13,216,10,0.028,21,22,0
243.0.242.107,175,10,0.011,91,14,0
83.189.213.188,350,10,0.029,98,35,0
100.210.46.147,228,10,0.018,21,28,0
32.25.5.22,335,10,0.024,91,34,0
76.122.55.225,184,10,0.027,98,20,0
98.128.92.180,251,10,0.024,98,33,0
155.141.119.225,212,10,0.014,98,20,0
16.138.161.193,226,10,0.022,97,30,0
108.132.245.105,230,10,0.043,97,20,0
209.239.165.121,166,10,0.006,72,18,0
52.205.222.216,227,10,0.018,91,16,0
87.124.68.4,343,10,0.015,11,26,0
246.199.153.135,260,10,0.015,91,26,0
12.245.37.21,218,10,0.014,72,19,0
180.192.185.216,350,10,0.020,97,40,0
72.101.231.18,216,10,0.032,11,22,1
170.235.1.134,353,10,0.023,98,39,0
251.179.0.5,343,10,0.012,91,31,0
150.59.170.61,362,10,0.017,98,45,0
47.218.90.100,215,10,0.028,98,23,0
92.243.28.10,365,10,0.014,97,46,0
90.111.56.99,266,10,0.008,91,31,1
164.63.136.126,203,10,0.005,91,22,0
239.210.115.163,299,10,0.020,98,32,0
35.138.218.120,289,10,0.014,21,33,0
177.40.19.160,240,10,0.033,11,26,0
159.73.130.47,382,10,0.013,91,34,0
137.54.148.227,228,10,0.035,72,23,0
73.157.32.161,224,10,0.018,11,23,0
193.29.220.13,396,10,0.018,21,38,0
190.235.71.29,251,10,0.012,91,25,0
49.126.252.159,358,10,0.011,11,30,0
81.145.233.189,380,10,0.005,97,40,0
225.151.40.144,191,10,0.016,21,10,0
53.12.41.176,230,10,0.009,91,18,0
237.244.39.162,385,10,0.029,21,39,0
136.30.179.65,203,10,0.025,91,23,0
127.27.67.111,363,10,0.019,98,35,0
215.238.93.107,350,10,0.014,21,37,0
125.42.109.234,162,10,0.012,98,15,0
183.127.177.47,287,10,0.010,72,36,0
47.25.244.60,214,10,0.009,21,21,0
41.106.249.134,230,10,0.030,98,22,0
183.228.51.0,247,10,0.028,91,27,0
112.153.56.151,336,10,0.036,97,31,0
9.93.16.232,386,10,0.016,72,41,0
20.191.126.24,348,10,0.046,91,32,0
251.16.39.29,391,10,0.023,11,45,0
15.117.80.179,388,10,0.018,97,43,0
